"postcode","lga_code19","LGAname"
"2081","14000","Hornsby (A)"
"2195","11570","Canterbury-Bankstown (A)"
"2168","14900","Liverpool (C)"
"2198","11570","Canterbury-Bankstown (A)"
"2711","13850","Hay (A)"
"2350","10130","Armidale Regional (A)"
"2454","10600","Bellingen (A)"
"2537","12750","Eurobodalla (A)"
"2420","12700","Dungog (A)"
"2642","13340","Greater Hume Shire (A)"
"2063","18250","Willoughby (C)"
"2578","18350","Wingecarribee (A)"
"2130","14170","Inner West (A)"
"2714","10650","Berrigan (A)"
"2319","16400","Port Stephens (A)"
"2049","14170","Inner West (A)"
"2482","11350","Byron (A)"
"2485","17550","Tweed (A)"
"2628","17040","Snowy Monaro Regional (A)"
"2700","15800","Narrandera (A)"
"2713","10650","Berrigan (A)"
"2880","11250","Broken Hill (C)"
"2470","16610","Richmond Valley (A)"
"2358","17650","Uralla (A)"
"2447","15700","Nambucca (A)"
"2583","17640","Upper Lachlan Shire (A)"
"2166","12850","Fairfield (C)"
"2586","13910","Hilltops (A)"
"2422","15240","Mid-Coast (A)"
"2748","16350","Penrith (C)"
"2334","11720","Cessnock (C)"
"2380","13550","Gunnedah (A)"
"2045","14170","Inner West (A)"
"2865","11400","Cabonne (A)"
"2221","12930","Georges River (A)"
"2452","11800","Coffs Harbour (C)"
"2165","12850","Fairfield (C)"
"2870","16200","Parkes (A)"
"2179","14900","Liverpool (C)"
"2505","18450","Wollongong (C)"
"2108","15990","Northern Beaches (A)"
"2722","12160","Cootamundra-Gundagai Regional (A)"
"2849","15270","Mid-Western Regional (A)"
"2400","15300","Moree Plains (A)"
"2258","11650","Central Coast (C) (NSW)"
"2782","10900","Blue Mountains (C)"
"2785","10900","Blue Mountains (C)"
"2265","14650","Lake Macquarie (C)"
"2752","18400","Wollondilly (A)"
"2423","15240","Mid-Coast (A)"
"2568","18400","Wollondilly (A)"
"2177","12850","Fairfield (C)"
"2136","17100","Strathfield (A)"
"2174","14900","Liverpool (C)"
"2167","11500","Campbelltown (C) (NSW)"
"2720","17080","Snowy Valleys (A)"
"2762","10750","Blacktown (C)"
"2146","16260","Parramatta (C)"
"2663","14300","Junee (A)"
"2296","15900","Newcastle (C)"
