LGA_code,LGA_Name,LGA_Name_abbr,MedianAge,MedianMortgage,MedianPersonIncome,MedianRent,MedianFamilyIncome,AverageBedroom,MedianHouseholdIncome,AverageHouseSize,Male,Female,Area,Population,Citizen,MaleAge(0-14),MaleAge(15-24),MaleAge(25-34),MaleAge(35-44),MaleAge(45-54),MaleAge(55-64),MaleAge(65-74),MaleAge(75-84),MaleAge(0ver85),TotalMale(allages),FemaleAge(0-14),FemaleAge(15-24),FemaleAge(25-34),FemaleAge(35-44),FemaleAge(45-54),FemaleAge(55-64),FemaleAge(65-74),FemaleAge(75-84),FemaleAge(0ver85),TotalFemale(allages),WeeklyFamilyHouseholdsIncome(Negative),WeeklyFamilyHouseholdsIncome(1-149),WeeklyFamilyHouseholdsIncome(150-299),WeeklyFamilyHouseholdsIncome(300-399),WeeklyFamilyHouseholdsIncome(400-499),WeeklyFamilyHouseholdsIncome(500-649)WeeklyFamilyHouseholdsIncome(650-799),WeeklyFamilyHouseholdsIncome(800-999),,WeeklyFamilyHouseholdsIncome(1000-1249),WeeklyFamilyHouseholdsIncome(1250-1499),WeeklyFamilyHouseholdsIncome(1500-1749),WeeklyFamilyHouseholdsIncome(1750-1999),WeeklyFamilyHouseholdsIncome(2000-2499),WeeklyFamilyHouseholdsIncome(2500-2999),WeeklyFamilyHouseholdsIncome(3000-3499),WeeklyFamilyHouseholdsIncome(3500-3999),WeeklyFamilyHouseholdsIncome(Over4000),WeeklyFamilyHouseholdsIncome(PartialIncomeStated),WeeklyFamilyHouseholdsIncome(NotStated),WeeklyNon-FamilyHouseholdsIncome(Negative),WeeklyNon-FamilyHouseholdsIncome(1-149),WeeklyNon-FamilyHouseholdsIncome(150-299),WeeklyNon-FamilyNon-HouseholdsIncome(300-399),WeeklyNon-FamilyHouseholdsIncome(400-499),WeeklyNon-FamilyHouseholdsIncome(500-649)WeeklyNon-FamilyHouseholdsIncome(650-799),WeeklyNon-FamilyHouseholdsIncome(800-999),,WeeklyNon-FamilyHouseholdsIncome(1000-1249),WeeklyNon-FamilyHouseholdsIncome(1250-1499),WeeklyNon-FamilyHouseholdsIncome(1500-1749),WeeklyNon-FamilyHouseholdsIncome(1750-1999),WeeklyNon-FamilyHouseholdsIncome(2000-2499),WeeklyNon-FamilyHouseholdsIncome(2500-2999),WeeklyNon-FamilyHouseholdsIncome(3000-3499),WeeklyNon-FamilyHouseholdsIncome(3500-3999),WeeklyNon-FamilyHouseholdsIncome(Over4000),WeeklyNon-FamilyHouseholdsIncome(PartialIncomeStated),WeeklyNon-FamilyHouseholdsIncome(NotStated),NoneBedroom,1Bedroom,2Bedrooms,3Bedrooms,4Bedrooms,5Bedrooms,Bedrooms(Over6),NotStated,OneMethodbyTrain,OneMethodbyBus,OneMethodbyFerry,OneMethodbyTram(IncludesLightRail),OneMethodbyTaxi,OneMethodbyCarasDriver,OneMethodbyCarasPassenger,OneMethodbyTruck,OneMethodbyMotorbikeorscooter,OneMethodbyBicycle,OtherOneMethod,OneMethodbyWalk,TwoMethodsByTrainAndBus,TwoMethodsByTrainAndFerry,TwoMethodsByTrainAndTram(IncludesLightRail),,TwoMethodsByTrainAndCarasDriver,TwoMethodsByTrainAndCarasPassenger,TwoMethodsByBusAndFerry,TwoMethodsByBusAndTram(IncludesLightRail),,TwoMethodsByBusAndCarasDriver,TwoMethodsByBusAndCarasPassenger,OtherTwoMethods,ThreeMethodsByTrainandOtherTwoMethods,BusandTwoOtherMethods(ExcludesTrain),OtherThreeMethods,Male>=70,Male<70,Female>=70,Female<70,Person>=70,Person<70,LowIncomePersons,LowIncome%,LonePerson,LonePerson%,PercentofPublicTransportation
LGA10800,Bland(A),Bland,43,1000,580,150,1360,0.7,1100,2.4,2971,2988,8557.7,5955,5145,550,261,253,303,323,384,282,171,59,2587,565,232,258,299,300,351,259,204,95,2564,20,6,18,16,53,47,140,111,170,110,80,112,145,83,55,38,73,165,46,17,9,36,88,135,61,58,53,59,33,23,17,20,0,0,20,0,0,63,9,58,271,982,637,114,19,92,3,61,0,0,0,1349,152,51,4,12,48,154,0,0,0,0,0,0,0,0,8,0,0,15,0,0,8,426,2529,498,2498,914,5028,1760,0.372486772486772,669,0.12995337995338,4.66
LGA10850,Blayney(A),Blayney,42,1500,620,220,1581,0.8,1227,2.5,3613,3647,1524.6,7257,6615,739,348,299,365,465,459,347,179,57,3265,684,362,354,422,469,454,332,187,68,3340,11,15,24,18,55,61,152,126,155,170,114,133,234,146,93,68,94,190,35,21,8,57,84,157,77,67,63,59,26,26,18,23,4,0,9,0,6,58,6,74,329,1146,789,153,54,97,4,14,0,3,0,2164,112,62,18,3,17,137,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,446,3143,484,3172,934,6326,2233,0.388280299078421,712,0.10779712339137,1.33
LGA10900,BlueMountains(C),Blue.M.,44,1842,688,350,1866,0.8,1468,2.5,37119,39782,1431.1,76904,69282,6939,4055,3157,4297,4832,5079,3932,1625,415,34333,6577,3773,3380,4801,5433,5767,4416,1972,717,36839,105,65,95,101,404,492,1248,1180,1685,1551,1271,1344,2643,2043,1316,953,1812,1888,215,175,89,390,623,1528,883,733,765,647,502,404,336,407,54,24,120,20,148,377,57,874,4082,12377,8302,1987,433,511,2806,127,3,7,67,21713,1221,360,179,120,171,916,277,0,7,567,134,95,0,0,15,9,3,186,173,0,7,4183,32933,5428,34355,9609,67298,22730,0.36176985516473,7386,0.103773850001405,15.12
LGA10950,Bogan(A),Bogan,40,1083,634,160,1561,0.8,1155,2.4,1355,1334,14599.9,2692,2322,234,138,134,128,181,124,116,86,14,1159,238,138,130,126,161,112,132,84,26,1151,6,0,6,3,27,20,63,44,42,36,38,38,79,42,35,17,36,97,26,3,0,20,32,74,22,17,30,27,17,18,13,18,0,0,7,0,8,23,4,29,180,427,246,42,8,31,0,52,0,0,0,669,56,15,7,10,5,98,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,177,1167,208,1125,388,2300,778,0.363551401869159,297,0.12885032537961,6.62
LGA11150,Bourke(A),Bourke,36,991,719,140,1562,0.8,1243,2.5,1301,1329,41599.5,2634,2062,251,102,139,105,150,128,92,40,11,1014,257,117,158,130,146,110,85,49,16,1066,5,3,3,6,14,9,43,40,31,47,27,33,61,49,27,14,16,87,32,7,0,19,16,44,17,20,33,29,12,12,11,15,0,0,8,0,5,22,3,52,119,351,208,43,18,45,0,3,0,0,4,554,68,16,7,9,17,158,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,103,1195,130,1196,239,2396,585,0.290178571428572,266,0.128131021194605,1.18
LGA11200,Brewarrina(A),Brewarrina,34,433,439,90,923,0.9,864,2.6,849,802,19163.5,1651,1462,179,68,95,70,128,100,52,18,6,728,168,103,102,71,111,90,51,23,10,729,4,7,10,15,25,19,32,40,28,24,26,14,25,13,10,3,12,52,27,0,0,19,29,33,17,10,12,6,12,10,7,3,0,0,3,0,3,12,5,28,101,224,143,20,5,30,0,7,0,0,0,226,37,18,13,4,4,110,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,59,783,51,741,110,1545,597,0.468602825745683,162,0.111878453038674,2.35
LGA11250,BrokenHill(C),Broken.H.,45,953,527,190,1279,0.7,965,2.2,8615,9091,170.1,17708,15992,1404,908,870,800,1029,1182,900,445,160,7684,1373,844,985,871,1072,1224,926,635,264,8193,22,19,45,53,207,203,503,355,406,328,235,269,426,300,183,100,188,474,148,43,27,185,325,650,244,198,169,172,117,102,94,95,7,8,39,0,32,207,19,257,1450,3859,1144,175,41,233,3,31,5,0,9,4836,415,36,48,34,25,321,0,0,0,0,0,0,0,0,3,3,0,26,3,0,0,1141,7482,1583,7505,2718,14999,6222,0.421344890634523,2532,0.159516159516159,1.28
LGA11300,Burwood(A),Burwood,33,2200,552,500,1725,1.1,1569,2.9,17785,19028,7.1,36809,23674,2305,3023,3671,2000,1916,1545,1003,684,267,16408,2280,3169,3691,2087,2143,1783,1216,879,386,17638,175,83,73,50,182,195,470,381,555,558,470,494,990,760,529,376,1070,759,73,383,64,157,283,372,243,207,254,312,212,201,151,259,81,50,95,71,178,130,116,962,4123,3639,1850,662,246,354,4827,547,3,16,21,6466,529,119,77,70,74,829,976,6,28,141,81,31,0,0,23,15,6,73,121,5,0,1659,16124,2198,16839,3861,32970,14118,0.441132358455193,2398,0.0704341185454973,45.74
LGA11350,Byron(A),Byron,44,1733,596,400,1389,0.8,1149,2.4,15197,16361,565.8,31556,25584,2363,1215,1317,1713,1894,2269,1464,473,175,12877,2348,1184,1523,2068,2277,2352,1377,585,299,14014,53,42,62,67,234,296,554,519,713,703,469,471,754,480,257,187,427,949,108,63,58,207,328,731,428,364,339,311,233,140,107,165,49,25,68,23,240,151,175,818,1974,5077,2423,438,124,341,14,73,3,3,19,8048,471,129,95,334,135,572,4,0,0,3,0,4,0,0,3,6,3,73,5,3,12,1469,13729,1762,14586,3213,28351,9524,0.362611840852846,3130,0.116382836320369,1.97
LGA11400,Cabonne(A),Cabonne,43,1517,631,180,1618,0.8,1301,2.6,6692,6699,6022.3,13386,12233,1400,663,526,680,838,841,693,352,89,6080,1326,611,576,751,876,795,679,351,119,6081,30,18,21,21,94,94,298,213,268,300,215,216,422,271,186,109,230,384,76,32,20,72,127,265,115,112,106,72,54,44,25,35,4,0,16,3,10,96,28,113,616,1830,1514,355,105,132,3,13,3,0,3,3938,239,117,26,5,47,264,0,0,0,0,0,0,0,0,0,0,0,17,0,3,5,842,5848,920,5781,1753,11636,3944,0.375654824268978,1144,0.0940866847602599,0.83
