LGA_code,LGA_Name,LGA_Name_abbr,MedianAge,MedianMortgage,MedianPersonIncome,MedianRent,MedianFamilyIncome,AverageBedroom,MedianHouseholdIncome,AverageHouseSize,Male,Female,Area,Population,Citizen,MaleAge(0-14),MaleAge(15-24),MaleAge(25-34),MaleAge(35-44),MaleAge(45-54),MaleAge(55-64),MaleAge(65-74),MaleAge(75-84),MaleAge(0ver85),TotalMale(allages),FemaleAge(0-14),FemaleAge(15-24),FemaleAge(25-34),FemaleAge(35-44),FemaleAge(45-54),FemaleAge(55-64),FemaleAge(65-74),FemaleAge(75-84),FemaleAge(0ver85),TotalFemale(allages),WeeklyFamilyHouseholdsIncome(Negative),WeeklyFamilyHouseholdsIncome(1-149),WeeklyFamilyHouseholdsIncome(150-299),WeeklyFamilyHouseholdsIncome(300-399),WeeklyFamilyHouseholdsIncome(400-499),WeeklyFamilyHouseholdsIncome(500-649)WeeklyFamilyHouseholdsIncome(650-799),WeeklyFamilyHouseholdsIncome(800-999),,WeeklyFamilyHouseholdsIncome(1000-1249),WeeklyFamilyHouseholdsIncome(1250-1499),WeeklyFamilyHouseholdsIncome(1500-1749),WeeklyFamilyHouseholdsIncome(1750-1999),WeeklyFamilyHouseholdsIncome(2000-2499),WeeklyFamilyHouseholdsIncome(2500-2999),WeeklyFamilyHouseholdsIncome(3000-3499),WeeklyFamilyHouseholdsIncome(3500-3999),WeeklyFamilyHouseholdsIncome(Over4000),WeeklyFamilyHouseholdsIncome(PartialIncomeStated),WeeklyFamilyHouseholdsIncome(NotStated),WeeklyNon-FamilyHouseholdsIncome(Negative),WeeklyNon-FamilyHouseholdsIncome(1-149),WeeklyNon-FamilyHouseholdsIncome(150-299),WeeklyNon-FamilyNon-HouseholdsIncome(300-399),WeeklyNon-FamilyHouseholdsIncome(400-499),WeeklyNon-FamilyHouseholdsIncome(500-649)WeeklyNon-FamilyHouseholdsIncome(650-799),WeeklyNon-FamilyHouseholdsIncome(800-999),,WeeklyNon-FamilyHouseholdsIncome(1000-1249),WeeklyNon-FamilyHouseholdsIncome(1250-1499),WeeklyNon-FamilyHouseholdsIncome(1500-1749),WeeklyNon-FamilyHouseholdsIncome(1750-1999),WeeklyNon-FamilyHouseholdsIncome(2000-2499),WeeklyNon-FamilyHouseholdsIncome(2500-2999),WeeklyNon-FamilyHouseholdsIncome(3000-3499),WeeklyNon-FamilyHouseholdsIncome(3500-3999),WeeklyNon-FamilyHouseholdsIncome(Over4000),WeeklyNon-FamilyHouseholdsIncome(PartialIncomeStated),WeeklyNon-FamilyHouseholdsIncome(NotStated),NoneBedroom,1Bedroom,2Bedrooms,3Bedrooms,4Bedrooms,5Bedrooms,Bedrooms(Over6),NotStated,OneMethodbyTrain,OneMethodbyBus,OneMethodbyFerry,OneMethodbyTram(IncludesLightRail),OneMethodbyTaxi,OneMethodbyCarasDriver,OneMethodbyCarasPassenger,OneMethodbyTruck,OneMethodbyMotorbikeorscooter,OneMethodbyBicycle,OtherOneMethod,OneMethodbyWalk,TwoMethodsByTrainAndBus,TwoMethodsByTrainAndFerry,TwoMethodsByTrainAndTram(IncludesLightRail),,TwoMethodsByTrainAndCarasDriver,TwoMethodsByTrainAndCarasPassenger,TwoMethodsByBusAndFerry,TwoMethodsByBusAndTram(IncludesLightRail),,TwoMethodsByBusAndCarasDriver,TwoMethodsByBusAndCarasPassenger,OtherTwoMethods,ThreeMethodsByTrainandOtherTwoMethods,BusandTwoOtherMethods(ExcludesTrain),OtherThreeMethods,Male>=70,Male<70,Female>=70,Female<70,Person>=70,Person<70,LowIncomePersons,LowIncome%,LonePerson,LonePerson%,PercentofPublicTransportation
LGA11450,Camden(A),Camden,33,2220,821,460,2161,0.8,2047,3.1,38336,39884,201,78218,70123,9184,4828,5380,5547,4526,3336,2218,923,214,36150,8814,4824,5925,5854,4788,3655,2387,1095,396,37742,116,52,75,61,287,279,848,776,1130,1269,1294,1365,3209,2595,1771,1180,2113,1732,261,101,55,154,256,591,287,247,293,370,268,232,192,246,42,18,68,19,57,164,35,348,1138,6364,13025,2319,438,411,1117,257,0,4,21,28135,1562,562,133,65,159,375,284,3,0,1166,144,10,0,0,15,37,3,209,174,10,5,2359,35975,2924,36956,5283,72950,18591,0.312343542615211,3300,0.0446634003735484,9.97
LGA11500,Campbelltown(C)(NSW),Campbelltown,34,1842,632,350,1597,0.9,1459,3,77002,79999,311.9,157006,131014,16589,10568,10449,9795,8862,8399,5416,1966,460,72500,15686,10270,11496,10176,9687,9068,5768,2333,752,75249,327,138,323,355,1094,1274,2711,2402,3280,3276,2965,2821,5385,3458,2107,1331,2194,3562,628,274,150,593,992,1795,786,719,981,1002,693,539,370,452,80,29,113,34,181,551,145,887,5741,24788,13631,2872,740,1184,7621,665,4,7,102,42269,3547,757,270,98,238,811,1488,11,26,1517,492,99,0,0,23,91,8,339,557,8,10,5008,71988,6162,73826,11177,145830,48594,0.394598369441647,9181,0.0621391684546088,21.22
LGA11520,CanadaBay(A),Canada.B.,36,2500,882,565,2361,1,2061,2.6,42348,45666,19.9,88015,66281,6954,4790,7564,5990,4852,3963,2936,1595,582,39219,6638,4863,7830,6440,5659,4605,3370,1988,876,42268,353,115,140,115,398,369,899,831,1217,1196,1016,1135,2664,2048,1663,1728,4789,2099,192,560,126,353,539,895,490,472,568,689,569,559,501,953,186,108,672,196,361,310,117,2648,12321,10791,4108,1233,257,617,5878,3478,928,54,102,21778,1406,250,339,402,274,1329,1182,66,26,325,128,55,110,17,175,73,37,332,236,47,18,3888,38476,5082,40585,8969,79038,23594,0.320014105902778,7067,0.0867222972143821,33.67
LGA11570,Canterbury-Bankstown(A),Canterbury,35,2000,502,380,1437,1.1,1298,3,172327,173977,110.3,346302,275424,34955,22563,24885,21828,20122,17044,11374,6510,2306,161596,32792,21487,25044,22302,21146,17748,11759,7704,3332,163301,1284,505,1009,802,2934,3038,6525,5682,7008,6617,5273,5028,9405,6269,4149,2846,5577,7854,1203,1068,407,1897,2896,4401,1897,1715,1840,1933,1266,967,755,939,260,131,307,114,673,1281,635,5099,31687,39763,20892,5267,1339,3082,19504,2753,20,91,400,79112,6453,1555,528,406,806,2787,3582,39,162,2093,729,191,0,18,149,162,33,820,831,31,25,15540,156780,18621,155359,34169,312141,126100,0.458102344641183,21173,0.0651679444996753,25.31
LGA11600,Carrathool(A),Carrathool,40,867,681,105,1538,0.8,1240,2.4,1421,1303,18932.5,2719,2319,239,131,164,146,194,191,105,71,19,1241,241,117,142,143,170,145,82,50,22,1112,9,3,3,5,19,23,48,39,63,62,53,46,85,42,21,17,35,88,20,9,4,18,29,49,32,20,32,36,18,10,11,15,0,0,3,0,0,21,14,37,121,425,270,61,20,35,0,17,0,0,0,777,80,16,3,6,23,110,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,142,1272,152,1142,287,2426,747,0.34187643020595,270,0.114649681528662,3.15
LGA11650,CentralCoast(C)(NSW),Central.C.,42,1750,600,350,1560,0.8,1258,2.5,158768,168972,1681.1,327736,292003,29849,18266,16069,17752,19584,18470,15554,8655,3028,147211,28049,17707,17052,19230,21269,20725,17659,10624,4514,156826,603,364,537,586,2310,2454,7412,5768,7263,7215,5624,5678,10536,7043,4289,2861,5082,8341,1419,847,437,1755,3271,7716,3963,2859,3008,2676,1752,1284,971,1211,203,97,509,76,632,2404,384,4180,22845,49271,32459,7148,1534,3227,5346,1437,39,12,95,91077,6388,1506,567,390,650,2326,1278,19,19,2451,426,181,7,0,43,127,11,867,743,30,37,21424,137344,27104,141872,48529,279208,106471,0.398309808572166,31958,0.105110132448371,11.23
LGA11700,CentralDarling(A),Central.D.,39,575,460,100,1075,0.8,901,2.4,973,859,53492.2,1833,1519,147,97,83,93,100,123,101,29,5,784,149,91,99,74,99,99,64,24,12,713,8,6,8,7,24,16,30,38,32,33,11,18,28,13,3,5,10,50,21,6,7,20,15,52,12,16,24,19,8,10,8,13,3,0,3,0,3,26,3,40,125,208,136,42,14,38,0,3,0,0,0,228,34,8,10,3,18,111,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,90,874,79,775,176,1669,636,0.428282828282828,227,0.151737967914438,2.56
LGA11720,Cessnock(C),Cessnock,38,1517,540,280,1414,0.8,1177,2.6,27633,27928,1965.2,55560,49518,5467,3151,2945,3019,3119,3182,2417,994,251,24539,5244,3150,3335,3126,3252,3289,2469,1155,415,25433,99,61,120,142,492,535,1429,999,1259,1186,947,973,1631,1011,612,348,652,1266,261,130,55,324,566,1225,440,425,485,425,264,164,131,209,24,14,59,11,75,324,32,605,3327,9149,4813,724,172,532,22,84,7,0,21,15434,1089,269,87,30,87,387,14,0,0,36,3,0,0,0,4,11,3,156,13,0,5,2667,24972,3235,24694,5902,49661,18551,0.419810360044355,4824,0.0965359908747073,1.99
LGA11730,ClarenceValley(A),Clarence.V.,49,1300,477,255,1133,0.8,910,2.3,25140,25530,10428.7,50671,45574,4118,2356,1768,2156,2924,3654,3338,1704,465,22482,3703,2200,1922,2462,3207,3843,3286,1805,668,23088,99,95,124,129,626,600,1857,1283,1459,1231,812,786,1136,641,353,193,295,1296,244,133,90,425,669,1669,697,549,529,394,182,167,107,123,9,6,72,3,110,409,139,927,3539,8955,4482,786,202,570,11,69,3,0,19,11708,867,276,89,185,135,781,0,0,0,3,0,0,0,0,0,11,0,110,3,3,5,4155,20992,4695,20833,8847,41815,20059,0.473491643848551,5742,0.126001184964122,1.49
LGA11750,Cobar(A),Cobar,36,1300,706,160,1923,0.7,1495,2.4,2394,2255,45579.3,4647,3911,464,222,292,273,262,282,151,75,25,2036,453,212,316,241,228,218,147,109,38,1951,12,6,7,11,33,33,85,60,54,71,59,54,145,111,75,49,88,112,36,13,0,28,49,73,30,41,37,45,30,23,27,52,0,0,18,0,5,46,8,61,219,722,486,69,10,65,0,9,0,0,3,1230,117,25,19,18,24,128,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,175,2212,240,2016,429,4215,1233,0.340325696936241,505,0.1267252195734,1.07
LGA11800,CoffsHarbour(C),Coffs.H.,44,1603,566,305,1346,0.8,1107,2.4,35319,37629,1173.7,72944,63436,6411,3751,3355,3548,4088,4638,3717,1913,595,32020,6226,3586,3644,4051,4748,4996,3877,2268,859,34247,139,78,118,138,663,669,1939,1553,1859,1847,1295,1206,2071,1235,680,434,720,1793,298,167,80,497,863,1755,906,761,765,633,388,250,194,196,57,22,99,23,168,468,156,1143,5328,11212,6783,1377,295,752,16,137,7,0,31,20784,1811,359,203,231,182,855,3,0,0,5,3,0,0,0,6,18,4,177,5,3,7,4759,30561,5693,31928,10457,62489,24285,0.40750062924742,7276,0.109803211396837,1.55
LGA12000,Coolamon(A),Coolamon,44,1083,594,150,1418,0.8,1169,2.5,2160,2156,2430.9,4315,3829,443,209,147,186,254,259,225,131,37,1885,373,208,153,203,287,236,229,156,40,1886,3,3,12,11,42,35,117,73,95,108,60,75,123,68,47,31,48,117,23,16,3,24,48,92,33,31,32,24,17,7,3,6,3,0,9,3,0,38,4,49,197,661,425,87,23,42,0,5,0,0,0,1093,81,33,10,0,17,84,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,332,1812,376,1779,712,3593,1317,0.383853104051297,370,0.098169275669939,0.6
LGA12150,Coonamble(A),Coonamble,43,867,519,150,1218,0.7,976,2.4,1947,1970,9916.1,3918,3287,339,164,181,136,245,238,192,91,21,1613,341,180,188,169,227,226,158,91,29,1607,16,5,6,5,42,49,94,69,90,83,49,58,82,49,27,12,25,107,38,11,4,44,63,94,43,33,36,35,26,17,14,5,0,0,7,0,9,43,3,58,229,570,370,62,23,59,0,10,0,0,0,839,65,12,10,4,24,106,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,256,1692,258,1705,520,3386,1225,0.392125480153649,433,0.134263565891473,1.3
LGA12160,Cootamundra-GundagaiRegional(A),Cootamundra.R.,49,1091,524,190,1232,0.7,920,2.2,3712,3856,ra(113031263)1656.1,7570,6921,634,321,282,315,399,506,463,287,77,3293,587,293,311,369,425,527,506,328,127,3477,16,7,14,20,71,74,285,172,206,193,135,100,189,101,57,42,62,215,51,31,17,60,102,290,99,99,94,73,22,21,21,8,0,0,15,0,13,52,12,64,542,1428,745,130,23,84,0,16,0,0,3,1890,163,42,21,20,23,143,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,684,3033,815,3047,1502,6077,2717,0.433333333333333,951,0.140514184397163,0.95
LGA12350,Cowra(A),Cowra,47,1148,509,185,1225,0.7,959,2.3,6157,6308,2808.8,12460,11246,1006,622,487,561,744,816,768,416,117,5526,1007,595,485,598,782,804,748,442,177,5628,20,22,41,38,124,126,386,289,364,317,191,204,334,156,97,55,93,301,71,35,22,114,207,380,155,161,128,93,51,37,32,22,3,0,13,0,9,123,18,152,835,2129,1237,214,64,171,0,3,0,0,4,3133,272,97,30,15,33,236,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1005,5152,1126,5196,2134,10329,4518,0.438811188811189,1485,0.133076440541267,0.57
LGA12380,Cumberland(A),Cumberland,32,2000,501,400,1436,1.1,1379,3.2,111080,105000,71.6,216079,156354,21780,15241,21219,15365,11710,9587,6173,3040,908,105023,20679,13057,18676,13505,11715,9834,6295,3625,1511,98904,788,293,564,485,1645,1635,3499,3304,4218,4010,3400,3129,6079,3937,2529,1684,2961,4755,756,665,227,1018,1476,2248,1056,956,1109,1153,821,702,504,735,243,136,236,225,608,697,351,2667,19249,24344,11745,3190,813,2153,14768,1791,9,34,232,46924,4465,892,232,206,481,1754,3023,22,68,1127,482,107,0,0,111,91,18,464,651,14,15,7380,103701,8975,96024,16343,199745,78957,0.459835650264695,11610,0.0569335334098332,29.21
LGA12390,DubboRegional(A),Dubbo.R.,37,1517,673,260,1545,0.8,1336,2.6,5003,5376,ast(105031100)87.7,10378,9192,1046,624,565,495,574,558,340,153,36,4389,1004,640,636,576,680,636,352,184,72,4773,13,7,15,20,71,79,192,162,212,235,155,186,329,241,138,60,112,294,40,25,10,46,63,159,75,87,100,106,60,41,29,42,3,3,9,7,19,66,7,95,526,1276,1253,228,50,88,0,20,0,0,9,3556,307,61,22,20,10,107,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,432,4569,522,4852,944,9425,2814,0.343003412969283,842,0.0918812745525971,29.21
LGA12700,Dungog(A),Dungog,45,1662,578,245,1474,0.8,1226,2.5,4497,4479,2250,8975,8219,823,434,352,431,586,654,514,254,51,4098,751,427,382,493,617,670,457,233,89,4121,18,11,21,14,81,72,229,143,235,198,167,153,279,169,119,71,124,259,39,13,17,57,74,182,88,93,65,57,49,34,23,26,3,0,9,0,7,31,15,111,472,1467,900,186,42,64,6,8,0,0,7,2597,141,76,13,7,21,141,0,0,0,7,0,0,0,0,0,0,0,24,3,0,0,602,3891,575,3904,1164,7797,2959,0.404511278195489,779,0.094745803940647,1.57
LGA12730,EdwardRiver(A),Edward.R.,45,1083,595,185,1399,0.7,1080,2.3,4353,4492,8883.4,8851,7704,738,448,368,418,451,610,424,257,75,3784,715,411,387,459,515,555,423,303,110,3875,20,20,24,20,85,74,197,146,228,209,150,132,255,137,78,48,90,224,54,34,14,64,127,233,100,109,118,83,52,46,19,40,8,3,17,3,14,90,5,80,610,1533,866,135,37,104,0,3,0,0,0,2580,175,46,10,31,28,210,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,613,3739,782,3712,1394,7455,2747,0.377542605827378,1086,0.141793967880924,0.64
LGA12750,Eurobodalla(A),Eurobodalla,54,1400,512,255,1184,0.7,939,2.2,18270,18955,3428.2,37232,33188,2564,1427,1180,1442,2015,2867,2935,1408,379,16225,2421,1375,1194,1642,2210,3181,2871,1457,547,16907,72,59,104,85,424,378,1333,949,1191,1103,573,610,868,470,242,126,248,948,215,109,76,293,542,1193,632,450,462,346,187,130,70,94,7,3,54,7,67,299,76,553,2935,6683,3547,665,144,428,4,72,0,3,14,8700,647,217,56,80,90,478,3,0,0,5,0,0,0,0,0,10,3,59,0,0,0,3632,14645,3988,14951,7635,29598,13876,0.434793507551545,4655,0.140502852313543,1.52
LGA12850,Fairfield(C),Fairfield,36,1800,439,350,1263,1.1,1222,3.3,97959,100855,101.5,198817,161209,18839,14666,12660,11185,12728,11515,7123,3559,1091,93363,17750,13835,13238,12564,13232,12344,7359,4208,1555,96091,836,321,710,544,1905,1845,4241,3417,4103,3790,3044,2846,4779,3277,2106,1325,2428,4537,816,551,189,888,1394,2095,722,741,812,740,413,325,222,248,66,19,80,25,254,533,199,2243,9526,24016,14696,3719,1047,1740,5521,1180,8,17,78,45943,4928,1168,157,143,347,1203,1441,0,18,1265,446,43,7,0,94,83,15,514,485,7,5,8389,89564,9967,90892,18361,180454,84019,0.522246394828444,9004,0.0475260485394872,17.11
LGA12870,Federation(A),Federation,49,1300,559,200,1299,0.7,1017,2.3,6102,6174,5685,12277,10967,967,552,450,532,691,830,818,440,140,5421,974,509,472,557,716,841,775,484,156,5476,26,21,22,27,145,104,385,263,314,320,197,205,337,196,109,42,74,337,106,38,13,94,134,357,172,126,163,117,90,50,29,34,8,0,16,3,16,141,16,101,899,2316,1138,190,37,146,3,7,0,0,4,3311,220,57,14,26,40,213,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1126,4971,1187,4996,2311,9946,4073,0.39982330421125,1497,0.137415090875711,0.99
LGA12900,Forbes(A),Forbes,42,1148,571,180,1326,0.8,1069,2.4,4806,4784,4710.1,9587,8618,882,496,417,454,545,565,507,288,68,4224,857,396,481,445,560,519,479,317,111,4169,19,10,25,19,86,82,244,195,267,222,130,157,261,136,100,47,79,225,74,15,19,70,123,228,111,99,99,76,65,33,18,40,6,3,12,0,11,84,15,97,581,1568,948,154,26,105,0,22,0,0,9,2602,198,64,17,14,36,178,0,0,0,0,0,0,0,0,3,0,0,21,0,0,4,687,4112,780,4009,1467,8129,3016,0.394971189104243,1034,0.123212583412774,1.45
LGA12930,GeorgesRiver(A),Georges.River,37,2167,640,450,1817,1,1654,2.9,71755,75086,38.3,146841,111183,12256,10043,11509,8791,8803,7464,5198,2951,1048,68070,11565,9287,11722,9615,9591,8384,5657,3554,1653,71017,540,196,294,239,833,859,2048,1808,2615,2537,2249,2287,4715,3449,2390,1782,4376,3500,429,614,175,607,861,1568,843,773,929,1061,783,646,483,772,137,86,292,83,349,468,150,2176,14728,17035,9340,3326,817,1096,16047,918,13,22,82,33303,2506,429,234,147,288,2199,2374,23,114,1097,445,100,0,0,56,47,7,243,478,10,8,6940,64826,8994,66079,15939,130894,49158,0.402222294953198,9327,0.0670573010281113,35.94
LGA12950,Gilgandra(A),Gilgandra,45,1083,537,160,1199,0.8,998,2.4,2089,2142,4831.5,4236,3850,381,203,172,179,244,265,224,136,51,1849,380,195,203,199,251,275,230,153,40,1916,17,7,3,5,52,33,137,84,130,84,68,55,103,59,38,24,33,120,38,12,5,38,62,111,53,40,45,36,23,14,14,11,0,0,8,0,3,31,9,61,254,664,447,93,18,41,0,3,0,0,0,1030,73,28,13,4,21,129,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,339,1756,384,1768,719,3509,1423,0.413662790697674,466,0.123705866737457,1.51
LGA13010,GlenInnesSevern(A),Glen.I.S.,47,1083,478,200,1111,0.7,838,2.2,4380,4453,5480,8836,7637,678,375,320,367,429,618,544,293,65,3695,681,381,348,409,506,599,557,313,127,3922,26,25,37,24,122,88,299,201,250,221,128,123,152,108,46,20,47,207,59,31,13,82,150,343,127,99,96,61,40,32,17,26,0,0,12,0,20,94,27,163,574,1637,747,129,35,115,4,10,3,0,8,1914,173,75,19,14,22,217,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,734,3652,850,3592,1588,7248,3338,0.455886369844305,1145,0.150242750295237,1.65
LGA13310,GoulburnMulwaree(A),Goulburn.M.,42,1517,625,260,1505,0.8,1196,2.4,14982,14631,3220.1,29609,25967,2682,1605,1445,1491,1772,1744,1427,714,191,13066,2426,1441,1612,1585,1851,1842,1446,788,330,13314,48,45,54,68,234,226,631,546,651,659,470,487,929,598,381,203,358,711,146,61,68,196,364,749,339,265,292,268,162,150,116,126,25,4,44,4,37,194,54,398,1761,4711,3044,534,157,290,23,59,4,0,35,8892,790,190,59,32,66,402,3,0,0,12,0,0,0,0,9,3,0,68,3,4,4,1775,13201,2161,12467,3927,25676,8893,0.366903209835795,3210,0.121683093252464,1.76
LGA13340,GreaterHumeShire(A),Greater.H.S.,44,1213,600,180,1439,0.8,1168,2.5,5187,5170,5749.5,10351,9463,1072,515,378,477,629,703,597,254,88,4722,1037,434,436,531,687,712,520,242,81,4671,18,27,18,13,86,87,242,206,259,247,195,170,300,192,90,69,118,281,63,23,13,67,95,245,103,82,94,77,51,28,28,20,7,0,12,0,4,65,11,88,455,1651,1116,222,57,99,4,18,0,0,0,2888,146,87,21,13,57,220,0,0,0,3,0,0,0,0,0,0,0,26,0,0,0,682,4505,671,4486,1343,9004,3123,0.384795465746673,946,0.100670426731936,1.46
LGA13450,Griffith(C),Griffith,37,1495,674,220,1555,0.8,1331,2.7,12795,12847,1639.2,25641,20839,2488,1462,1544,1400,1486,1364,829,561,180,11308,2433,1312,1583,1388,1520,1307,927,649,265,11388,52,34,41,41,190,187,445,395,509,577,487,408,778,486,291,169,308,617,158,59,32,118,220,393,164,196,239,190,143,85,62,98,22,14,39,18,35,165,32,279,1196,3703,2603,331,49,294,5,15,0,0,20,8574,927,103,49,48,64,334,0,0,0,3,0,0,0,0,7,0,0,72,0,0,0,1306,11481,1645,11200,2959,22684,6778,0.334319818486732,2031,0.0895068529372879,1
LGA13550,Gunnedah(A),Gunnedah,40,1473,618,240,1586,0.8,1253,2.5,6105,6107,4987,12215,10973,1223,624,697,630,685,755,526,310,82,5530,1139,603,723,634,711,690,540,365,135,5541,29,14,21,28,93,104,276,186,260,258,185,219,367,248,145,116,193,308,86,24,17,86,154,290,123,92,115,97,62,53,44,71,3,0,40,6,16,98,20,134,662,1960,1328,236,58,135,4,79,0,0,16,3508,348,100,15,16,33,208,0,0,0,0,0,0,0,0,25,3,3,35,0,0,0,747,5366,920,5184,1671,10569,3698,0.381788147842247,1279,0.115464475941139,3.39
LGA13660,Gwydir(A),Gwydir,48,981,489,120,1178,0.8,910,2.3,2657,2592,9259.7,5258,4661,463,203,184,224,320,339,349,186,34,2307,411,197,195,239,326,294,341,171,61,2249,27,20,16,14,74,50,171,107,141,144,84,63,139,50,30,17,36,136,40,20,10,55,80,153,46,56,55,48,11,10,10,3,0,0,6,3,15,52,17,91,350,833,496,113,22,69,0,9,0,0,0,1131,59,62,16,7,41,163,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,461,2210,488,2114,946,4302,1894,0.442523364485981,589,0.129308452250274,1.07
LGA13800,Hawkesbury(C),Hawkesbury,38,2080,728,360,1916,0.8,1668,2.8,31952,32635,2775.1,64592,57950,6307,4223,3659,3683,4290,3580,2449,1061,280,29539,5960,4019,3792,3933,4587,3680,2600,1268,428,30269,111,69,75,91,328,321,811,778,1125,1189,1134,1140,2246,1728,1120,788,1512,1605,236,119,66,266,393,764,448,411,442,516,322,266,175,241,41,20,95,12,64,236,72,621,2309,8934,6514,1812,588,463,826,116,0,0,24,22422,1273,893,153,110,145,617,109,0,0,449,76,18,0,0,24,8,3,217,97,0,7,2730,29231,3293,29359,6013,58561,17459,0.337580726246181,4388,0.0733668845825879,7.04
LGA13850,Hay(A),Hay,46,982,587,150,1344,0.7,1075,2.3,1480,1461,11325.9,2946,2508,230,145,113,112,193,185,136,95,18,1237,235,133,117,127,200,177,143,100,20,1251,6,5,14,12,25,24,70,52,65,73,48,48,85,37,20,13,26,96,22,6,10,21,30,79,27,22,33,29,18,5,11,13,0,0,6,0,0,42,8,27,189,470,272,53,19,53,0,0,4,0,0,766,73,28,9,8,25,104,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,221,1270,222,1231,443,2494,914,0.375976964212258,346,0.139235412474849,0.98
LGA13910,Hilltops(A),Hilltops,44,1200,538,200,1261,0.7,976,2.4,9088,9402,7140.9,18498,16815,1739,914,732,927,1056,1161,1070,511,127,8241,1641,920,822,944,1168,1131,1050,602,219,8497,43,31,46,54,214,195,560,382,482,453,326,335,430,242,138,82,151,501,96,44,51,134,224,560,229,209,228,149,73,61,51,58,11,4,21,0,23,179,41,192,1152,3033,1906,417,106,220,7,17,0,0,18,4798,375,186,33,13,71,419,0,0,0,0,0,0,0,0,3,0,0,43,0,0,3,1272,7814,1511,7901,2783,15711,6328,0.425183094806155,2136,0.127644316959484,1.17
LGA14000,Hornsby(A),Hornsby,40,2400,793,500,2372,0.9,2121,2.9,69634,73027,455,142667,119713,14004,8950,6827,9378,9627,7871,5416,2828,1007,65914,13078,8375,7162,10385,10540,8475,5947,3371,1510,68844,286,147,210,117,533,495,1368,1347,2026,2124,1846,2048,4473,3706,2882,2671,7525,3809,319,254,148,377,615,1286,914,690,784,805,615,490,405,694,94,56,272,61,153,373,212,2140,7906,14315,16103,4573,996,762,11689,2456,7,11,63,35112,2199,403,347,215,312,1911,1710,14,19,1848,511,162,0,0,175,78,12,329,541,11,17,7122,62509,9062,63982,16173,126485,39808,0.346771664517928,8169,0.0606224768463548,32.54
LGA14100,HuntersHill(A),Hunters.H.,43,3033,977,490,3301,0.9,2467,2.7,6987,7016,5.7,13999,12320,1268,739,495,734,888,694,612,290,117,5847,1166,631,543,853,991,798,656,374,180,6190,42,15,19,13,39,26,102,79,105,119,94,123,268,234,208,247,1198,405,37,60,15,62,99,145,82,75,86,104,70,65,53,107,10,3,101,14,26,43,25,359,935,1447,1172,447,113,74,21,700,211,0,30,3449,200,23,50,41,32,146,83,11,0,14,6,0,20,0,36,15,3,72,15,3,10,920,6054,1283,5711,2213,11790,3469,0.305638766519824,1108,0.0920265780730897,23.31
LGA14170,InnerWest(A),Inner.W.,36,2600,957,480,2498,1,2048,2.4,88736,93302,35.4,182043,142764,13407,8668,16087,13961,11054,7757,5001,2543,829,79301,12780,9035,17165,14830,11760,8753,5757,3159,1235,84471,350,181,235,181,656,614,1577,1371,2067,2167,1962,2034,4918,4095,3421,3310,10060,3913,345,689,281,908,1372,2155,1335,1346,1701,2123,1847,1806,1565,2868,648,407,1569,707,1333,678,1101,9149,26999,20521,7362,1414,458,1791,19012,9986,731,1431,379,35225,2636,343,1200,2634,573,5181,3591,124,286,583,247,314,140,151,192,146,152,582,628,89,44,6649,82074,8451,84854,15101,166931,43089,0.279566334475241,18949,0.115701419630591,44.32
LGA14200,Inverell(A),Inverell,42,1200,509,210,1181,0.8,950,2.4,8061,8423,8597.2,16483,14697,1544,904,761,751,904,943,840,476,115,7227,1530,849,788,848,969,993,863,537,182,7563,49,34,50,56,216,188,513,379,430,413,273,250,379,214,98,72,116,399,87,38,16,132,203,447,173,176,181,113,77,39,37,38,9,4,21,0,22,161,27,273,989,2748,1529,291,61,204,0,19,0,0,12,4169,400,97,39,18,46,247,0,0,0,3,0,0,0,0,0,4,0,34,0,0,3,1123,6937,1334,7079,2463,14029,5759,0.437680498556011,1727,0.116783878820665,1.18
LGA14300,Junee(A),Junee,40,1200,600,200,1410,0.8,1139,2.5,3574,2720,2030,6295,4739,523,287,264,260,316,351,251,118,34,2405,499,267,276,264,332,350,266,115,42,2423,10,3,14,13,45,42,142,89,132,133,71,95,156,95,56,33,56,133,25,22,11,38,66,130,53,47,54,35,20,19,16,23,0,0,13,3,3,35,3,56,262,875,548,85,16,79,3,6,0,0,0,1459,169,35,11,5,26,97,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,323,3228,345,2385,660,5631,1651,0.319157162188285,532,0.11028192371476,0.66
